,precision,recall,f1-score,support
MEL,0.5866666666666667,0.2573099415204678,0.35772357723577236,171.0
NV,0.7375527426160338,0.9614961496149615,0.8347659980897804,909.0
BCC,0.3884297520661157,0.5053763440860215,0.4392523364485981,93.0
AKIEC,0.4,0.32558139534883723,0.358974358974359,43.0
BKL,0.6176470588235294,0.1935483870967742,0.29473684210526313,217.0
DF,0.3,0.06818181818181818,0.1111111111111111,44.0
VASC,0.6666666666666666,0.34285714285714286,0.4528301886792453,35.0
accuracy,0.6851851851851852,0.6851851851851852,0.6851851851851852,0.6851851851851852
macro avg,0.528137555262716,0.3791930255294319,0.40705634466344703,1512.0
weighted avg,0.657832113146933,0.6851851851851852,0.6355524000833658,1512.0
