,precision,recall,f1-score,support
MEL,0.7857142857142857,0.06432748538011696,0.11891891891891893,171.0
NV,0.77088948787062,0.9438943894389439,0.8486646884272997,909.0
BCC,0.23867069486404835,0.8494623655913979,0.37264150943396224,93.0
AKIEC,0.1346153846153846,0.16279069767441862,0.14736842105263157,43.0
BKL,1.0,0.004608294930875576,0.009174311926605505,217.0
DF,0.0,0.0,0.0,44.0
VASC,1.0,0.02857142857142857,0.05555555555555555,35.0
accuracy,0.6329365079365079,0.6329365079365079,0.6329365079365079,0.6329365079365079
macro avg,0.5614128361520484,0.29337923736959726,0.22176048647356764,1512.0
weighted avg,0.7374871187118748,0.6329365079365079,0.553372426938287,1512.0
