,precision,recall,f1-score,support
MEL,0.6379310344827587,0.21637426900584794,0.3231441048034934,171.0
NV,0.7359932088285229,0.9537953795379538,0.830857690464782,909.0
BCC,0.3767123287671233,0.5913978494623656,0.4602510460251046,93.0
AKIEC,0.45454545454545453,0.46511627906976744,0.45977011494252873,43.0
BKL,0.6222222222222222,0.12903225806451613,0.21374045801526717,217.0
DF,0.5294117647058824,0.20454545454545456,0.29508196721311475,44.0
VASC,0.5416666666666666,0.37142857142857144,0.4406779661016949,35.0
accuracy,0.6805555555555556,0.6805555555555556,0.6805555555555556,0.6805555555555556
macro avg,0.55692609717409,0.4188128658734967,0.43193190679514076,1512.0
weighted avg,0.6679619100827318,0.6805555555555556,0.6268979891117705,1512.0
