,precision,recall,f1-score,support
MEL,0.6833333333333333,0.23976608187134502,0.354978354978355,171.0
NV,0.7246861924686192,0.9526952695269527,0.8231939163498099,909.0
BCC,0.4172661870503597,0.6236559139784946,0.5,93.0
AKIEC,0.5135135135135135,0.4418604651162791,0.475,43.0
BKL,0.6037735849056604,0.14746543778801843,0.23703703703703705,217.0
DF,0.8571428571428571,0.13636363636363635,0.23529411764705882,44.0
VASC,0.6666666666666666,0.4,0.5,35.0
accuracy,0.6851851851851852,0.6851851851851852,0.6851851851851852,0.6851851851851852
macro avg,0.6380546192972872,0.42025811494924653,0.44650048943032294,1512.0
weighted avg,0.680253354763814,0.6851851851851852,0.6317457320613648,1512.0
