,precision,recall,f1-score,support
MEL,0.5703703703703704,0.4502923976608187,0.5032679738562091,171.0
NV,0.853585657370518,0.9427942794279428,0.8959749085206482,909.0
BCC,0.691358024691358,0.6021505376344086,0.6436781609195402,93.0
AKIEC,0.49122807017543857,0.6511627906976745,0.56,43.0
BKL,0.7239583333333334,0.6405529953917051,0.6797066014669927,217.0
DF,0.8,0.2727272727272727,0.4067796610169492,44.0
VASC,0.75,0.6,0.6666666666666666,35.0
accuracy,0.7870370370370371,0.7870370370370371,0.7870370370370371,0.7870370370370371
macro avg,0.697214350848717,0.5942400390771175,0.6222962817781438,1512.0
weighted avg,0.7787108184724256,0.7870370370370371,0.7759061212146923,1512.0
